image_id,filename,monument_category,question_id,question,answer,question_type,confidence,source
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q6,In which century was this constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_009,taj_mahal_009_615e7f3a.jpg,Taj Mahal,taj_mahal_009_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q1,What is the name of this structure?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q3,Which Indian state has this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q4,What type of architecture is this?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q5,Which ruler built this?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_010,taj_mahal_010_1a16e74c.jpg,Taj Mahal,taj_mahal_010_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q1,Name this monument.,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q3,Which Indian state has this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q5,Who commissioned this structure?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q6,What is the time period of this monument?,17th century,time_period,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_011,taj_mahal_011_8338c857.jpg,Taj Mahal,taj_mahal_011_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q1,What is the name of this structure?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q3,What state is this in?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q5,Who commissioned this structure?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q6,What is the time period of this monument?,17th century,time_period,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_012,taj_mahal_012_1de2468f.jpg,Taj Mahal,taj_mahal_012_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q1,Which monument is this?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q3,Which Indian state has this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q6,What is the time period of this monument?,17th century,time_period,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_013,taj_mahal_013_0af2329f.jpg,Taj Mahal,taj_mahal_013_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q1,Which monument is this?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q5,Who built this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q6,In which century was this constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_014,taj_mahal_014_c03b31e3.jpg,Taj Mahal,taj_mahal_014_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q1,What is the name of this structure?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q4,What is the style of this structure?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q6,When was this monument constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_015,taj_mahal_015_de45c6bc.jpg,Taj Mahal,taj_mahal_015_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q1,What is this monument?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q2,Where is this monument located?,Agra,location,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q3,What state is this in?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q5,Which ruler built this?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_016,taj_mahal_016_c6e99470.jpg,Taj Mahal,taj_mahal_016_q8,Which religion is this associated with?,Islamic,religion,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q1,What monument is shown in the image?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q5,Who commissioned this structure?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q7,What material was used to build this?,White marble,material,1.0,automated_generation
taj_mahal_017,taj_mahal_017_d9eb8c23.jpg,Taj Mahal,taj_mahal_017_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q1,Which monument is this?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q4,What type of architecture is this?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q5,Which ruler built this?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q6,In which century was this constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q7,What is the primary building material?,White marble,material,1.0,automated_generation
taj_mahal_018,taj_mahal_018_33d81fb8.jpg,Taj Mahal,taj_mahal_018_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q1,Name this monument.,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q5,Which ruler built this?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q6,What is the time period of this monument?,17th century,time_period,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_019,taj_mahal_019_690d3a22.jpg,Taj Mahal,taj_mahal_019_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q1,What monument is shown in the image?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q4,What is the architectural style of this monument?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q6,When was this built?,17th century,time_period,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_020,taj_mahal_020_62c929ee.jpg,Taj Mahal,taj_mahal_020_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q1,What is the name of this structure?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q2,Which city is this monument in?,Agra,location,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q3,In which state is this monument?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q6,In which century was this constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q7,What is this monument made of?,White marble,material,1.0,automated_generation
taj_mahal_021,taj_mahal_021_541706c1.jpg,Taj Mahal,taj_mahal_021_q8,What is the religious context of this monument?,Islamic,religion,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q1,Name this monument.,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q2,What is the location of this monument?,Agra,location,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q3,What state is this in?,Uttar Pradesh,state,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q4,What architectural style does this represent?,Mughal,architectural_style,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q5,Who was the patron of this monument?,Shah Jahan,builder_patron,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q6,When was this monument constructed?,17th century,time_period,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q7,What is the primary building material?,White marble,material,1.0,automated_generation
taj_mahal_022,taj_mahal_022_360aaa99.jpg,Taj Mahal,taj_mahal_022_q8,What is the religious significance?,Islamic,religion,1.0,automated_generation
taj_mahal_023,taj_mahal_023_e81a67af.jpg,Taj Mahal,taj_mahal_023_q1,What monument is shown in the image?,Taj Mahal,monument_identification,1.0,automated_generation
taj_mahal_023,taj_mahal_023_e81a67af.jpg,Taj Mahal,taj_mahal_023_q2,Where is this monument located?,Agra,location,1.0,automated_generation
